CA DistanceNominal (au),V relative(km/s),H(mag)
0.03129,4.06,55.50000000000001
0.02099,13.0,68.5
0.01904,16.38,38.00000000000001
0.01005,3.85,58.5
0.02222,15.25,69.0
0.03068,15.15,57.5
0.04119,19.27,57.5
0.01157,15.01,66.5
0.04563,13.61,31.500000000000004
0.03326,17.04,31.500000000000004
0.03721,4.91,65.0
0.04177,13.93,64.0
0.01517,5.02,50.50000000000001
0.02794,9.24,66.0
0.03781,8.62,60.0
0.03683,2.44,70.5
0.01345,19.98,56.99999999999999
0.03584,8.69,55.0
0.02785,12.71,66.0
0.04597,28.15,23.499999999999996
0.01552,8.73,38.5
0.02542,9.45,70.0
0.01478,8.31,34.0
0.0238,3.44,68.5
0.03576,7.67,43.5
0.03988,19.33,43.5
0.00596,15.03,61.0
0.01634,8.95,67.5
0.0158,10.29,61.0
0.01674,9.67,66.5
0.02085,4.65,64.0
0.02253,12.24,75.0
0.02349,5.99,65.5
0.02884,4.78,57.5
0.0284,14.78,44.49999999999999
0.01485,10.11,46.5
0.00361,5.72,78.0
0.04487,13.65,59.0
0.00814,9.87,63.00000000000001
0.03948,10.25,71.0
0.00993,12.17,69.0
0.04941,18.95,31.500000000000004
0.02734,8.15,53.00000000000001
0.0201,10.87,58.00000000000001
0.02049,4.86,62.5
0.02257,16.91,48.5
0.03584,18.77,41.5
0.01088,8.01,60.50000000000001
0.0114,7.61,74.5
0.007,13.1,56.5
0.00663,11.58,73.5
0.02529,11.7,75.0
0.00909,10.46,76.5
0.03794,11.89,46.5
0.03967,8.63,56.5
0.03774,17.4,37.5
0.0453,20.19,44.49999999999999
0.00774,6.07,58.00000000000001
0.02602,5.25,66.0
0.00254,13.62,60.50000000000001
0.01802,5.38,65.0
0.0322,7.5,51.5
0.03943,10.24,56.0
0.0168,15.1,61.0
0.00954,4.27,59.49999999999999
0.0374,3.08,61.5
0.02044,4.75,62.5
0.01832,7.09,60.50000000000001
0.00627,8.35,63.5
0.04824,10.08,31.999999999999993
0.04683,9.28,56.99999999999999
0.00388,3.62,88.0
0.02376,19.02,51.99999999999999
0.03352,14.76,50.0
0.01235,17.05,71.5
0.00312,5.32,63.5
0.00512,10.7,68.0
0.04807,4.6,62.5
0.03172,4.91,77.5
0.01213,15.81,61.99999999999999
0.04442,17.41,52.5
0.02839,7.61,56.99999999999999
0.04299,16.93,51.99999999999999
0.00544,24.44,61.5
0.02877,8.97,32.5
0.00695,4.23,67.5
0.01642,10.92,55.50000000000001
0.02271,13.5,43.5
0.045,12.81,54.0
0.04102,6.9,41.0
